@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
69,'2021/11/23 11:23:56:505',1,0.047396,0.271296,0.92574,0.043326,0.297998
70,'2021/11/23 11:23:56:542',1,0.091667,0.397222,0.92574,0.043326,0.297998
71,'2021/11/23 11:23:56:544',1,0.122917,0.444444,0.92574,0.043326,0.297998
72,'2021/11/23 11:23:56:566',1,0.167708,0.475,0.92574,0.043326,0.297998
73,'2021/11/23 11:23:56:582',1,0.198958,0.475,0.92574,0.043326,0.297998
74,'2021/11/23 11:23:56:609',1,0.252083,0.433333,0.92574,0.043326,0.297998
75,'2021/11/23 11:23:56:634',1,0.259375,0.372222,0.92574,0.043326,0.297998
76,'2021/11/23 11:23:56:667',1,0.227604,0.267593,0.92574,0.043326,0.297998
77,'2021/11/23 11:23:56:682',1,0.207813,0.238889,0.92574,0.043326,0.297998
78,'2021/11/23 11:23:56:707',1,0.169271,0.211111,0.92574,0.043326,0.297998
79,'2021/11/23 11:23:56:733',1,0.142188,0.234259,0.92574,0.043326,0.297998
80,'2021/11/23 11:23:56:742',1,0.138021,0.247222,0.92574,0.043326,0.297998
81,'2021/11/23 11:23:56:766',1,0.134896,0.308333,0.92574,0.043326,0.297998
82,'2021/11/23 11:23:56:782',1,0.141667,0.356481,0.92574,0.043326,0.297998
83,'2021/11/23 11:23:56:806',1,0.173438,0.412963,0.92574,0.043326,0.297998
84,'2021/11/23 11:23:56:834',1,0.216667,0.425,0.92574,0.043326,0.297998
85,'2021/11/23 11:23:56:842',1,0.230729,0.416667,0.92574,0.043326,0.297998
86,'2021/11/23 11:23:56:867',1,0.264062,0.339815,0.92574,0.043326,0.297998
87,'2021/11/23 11:23:56:882',1,0.266146,0.273148,0.92574,0.043326,0.297998
88,'2021/11/23 11:23:56:906',1,0.25,0.19537,0.92574,0.043326,0.297998
89,'2021/11/23 11:23:56:935',1,0.214583,0.135185,0.92574,0.043326,0.297998
90,'2021/11/23 11:23:56:942',1,0.196354,0.124074,0.92574,0.043326,0.297998
91,'2021/11/23 11:23:56:968',1,0.15625,0.122222,0.92574,0.043326,0.297998
92,'2021/11/23 11:23:56:982',1,0.14375,0.126852,0.92574,0.043326,0.297998
93,'2021/11/23 11:23:57:004',1,0.119271,0.151852,0.92574,0.043326,0.297998
94,'2021/11/23 11:23:57:034',1,0.101042,0.262963,0.92574,0.043326,0.297998
95,'2021/11/23 11:23:57:042',1,0.101042,0.280556,0.92574,0.043326,0.297998
96,'2021/11/23 11:23:57:071',1,0.127083,0.37963,0.92574,0.043326,0.297998
97,'2021/11/23 11:23:57:082',1,0.164063,0.428704,0.92574,0.043326,0.297998
